frame,track,x1,y1,x2,y2,cx,cy,height,score,level
305,2,494.2,47.5,562.4,213.2,528.3,130.4,165.7,0.000,GREEN
305,1,440.5,174.1,539.3,348.2,489.9,261.1,174.1,0.850,RED
306,1,440.6,171.0,539.8,348.7,490.2,259.9,177.7,0.850,RED
306,2,493.9,47.6,563.7,213.6,528.8,130.6,166.0,0.000,GREEN
307,1,440.6,171.1,539.9,348.4,490.3,259.8,177.3,0.850,RED
307,2,493.9,47.6,563.3,213.7,528.6,130.6,166.2,0.000,GREEN
308,2,493.9,47.5,564.1,215.3,529.0,131.4,167.8,0.000,GREEN
308,1,440.5,176.1,539.6,348.4,490.1,262.2,172.3,0.850,RED
309,2,493.9,47.5,565.1,215.5,529.5,131.5,168.0,0.000,GREEN
309,1,440.7,184.3,539.2,348.1,490.0,266.2,163.8,0.850,RED
310,2,493.6,47.5,563.9,215.0,528.7,131.2,167.6,0.000,GREEN
310,1,442.8,179.3,539.7,349.5,491.2,264.4,170.2,0.850,RED
311,1,442.8,181.3,539.6,350.2,491.2,265.7,168.9,0.850,RED
311,2,494.0,47.4,563.2,215.9,528.6,131.6,168.5,0.000,GREEN
312,2,493.9,47.3,562.6,216.5,528.3,131.9,169.2,0.000,GREEN
312,1,442.7,185.0,539.5,349.9,491.1,267.4,164.9,0.850,RED
313,2,494.1,47.1,562.0,215.6,528.1,131.3,168.5,0.000,GREEN
313,1,442.2,177.0,539.9,350.0,491.0,263.5,173.0,0.850,RED
314,1,444.6,176.8,540.3,350.3,492.5,263.6,173.5,0.850,RED
314,2,494.7,47.0,560.6,216.2,527.6,131.6,169.3,0.000,GREEN
315,2,494.4,46.9,560.6,217.5,527.5,132.2,170.6,0.000,GREEN
315,1,444.3,176.5,541.2,349.9,492.7,263.2,173.4,0.850,RED
316,2,495.1,46.8,560.5,216.6,527.8,131.7,169.8,0.000,GREEN
316,1,442.2,179.1,540.5,350.0,491.4,264.6,170.9,0.850,RED
317,2,495.3,46.6,560.3,216.8,527.8,131.7,170.2,0.000,GREEN
317,1,442.7,179.6,540.5,349.4,491.6,264.5,169.8,0.850,RED
318,1,444.4,178.2,541.1,350.1,492.7,264.2,171.9,0.850,RED
318,2,498.4,46.7,560.0,217.3,529.2,132.0,170.6,0.000,GREEN
319,1,446.1,178.3,542.0,348.5,494.1,263.4,170.2,0.850,RED
319,2,499.3,46.6,558.8,216.5,529.1,131.5,169.9,0.000,GREEN
320,2,500.5,46.4,558.3,216.2,529.4,131.3,169.9,0.000,GREEN
320,1,442.5,179.6,541.7,347.8,492.1,263.7,168.2,0.850,RED
321,1,441.1,177.7,542.1,347.5,491.6,262.6,169.8,0.850,RED
321,2,501.6,44.9,557.4,216.1,529.5,130.5,171.2,0.000,GREEN
322,1,441.1,178.0,542.2,347.3,491.6,262.7,169.3,0.850,RED
322,2,501.7,44.9,556.9,216.1,529.3,130.5,171.2,0.000,GREEN
323,1,441.8,177.4,542.6,347.2,492.2,262.3,169.7,0.850,RED
323,2,502.5,44.1,557.4,215.9,530.0,130.0,171.8,0.000,GREEN
324,1,442.0,179.0,542.8,346.8,492.4,262.9,167.8,0.850,RED
324,2,502.4,42.8,558.9,215.9,530.6,129.3,173.1,0.000,GREEN
325,1,445.0,180.7,542.6,346.3,493.8,263.5,165.6,0.850,RED
325,2,502.7,42.0,561.9,216.2,532.3,129.1,174.2,0.000,GREEN
326,2,502.9,41.5,561.9,214.8,532.4,128.1,173.3,0.000,GREEN
326,1,446.1,178.8,542.4,346.3,494.2,262.5,167.5,0.850,RED
327,2,502.9,41.2,562.0,215.3,532.4,128.3,174.1,0.000,GREEN
327,1,446.1,179.2,542.1,346.9,494.1,263.1,167.7,0.850,RED
328,2,502.8,42.1,562.0,213.9,532.4,128.0,171.9,0.000,GREEN
328,1,447.5,181.4,541.7,347.3,494.6,264.3,165.9,0.850,RED
329,2,502.9,43.0,562.2,211.3,532.6,127.2,168.3,0.000,GREEN
329,1,446.9,181.8,541.9,341.8,494.4,261.8,159.9,0.850,RED
330,2,502.9,42.7,563.9,211.2,533.4,127.0,168.5,0.000,GREEN
330,1,447.1,175.5,541.5,345.8,494.3,260.6,170.3,0.850,RED
331,1,447.4,174.7,541.7,346.2,494.6,260.5,171.6,0.850,RED
331,2,502.4,42.7,563.8,210.5,533.1,126.6,167.9,0.000,GREEN
332,2,502.3,42.7,563.8,210.5,533.0,126.6,167.8,0.000,GREEN
332,1,447.2,174.6,541.8,345.0,494.5,259.8,170.4,1.000,RED
333,2,501.7,42.7,564.0,212.5,532.8,127.6,169.8,0.000,GREEN
333,1,448.6,173.9,541.1,346.0,494.9,259.9,172.1,1.000,RED
334,1,449.8,172.2,540.9,348.1,495.3,260.2,175.9,1.000,RED
334,2,498.9,42.6,564.1,214.5,531.5,128.5,171.9,0.000,GREEN
335,2,497.9,42.2,564.0,212.2,530.9,127.2,170.0,0.000,GREEN
335,1,449.4,170.2,542.3,345.9,495.8,258.0,175.7,0.850,RED
336,1,448.9,169.3,542.4,345.9,495.7,257.6,176.5,0.850,RED
336,2,497.9,42.0,564.1,219.1,531.0,130.6,177.1,0.000,GREEN
337,1,448.7,169.3,542.5,345.9,495.6,257.6,176.6,0.850,RED
337,2,497.7,41.9,564.1,219.4,530.9,130.7,177.5,0.000,GREEN
338,2,496.9,42.2,563.4,220.1,530.1,131.2,177.9,0.000,GREEN
338,1,447.4,168.9,543.1,347.4,495.3,258.1,178.5,0.850,RED
339,1,448.3,168.7,543.6,347.4,496.0,258.1,178.8,0.850,RED
339,2,489.9,42.4,563.4,222.0,526.7,132.2,179.7,0.000,GREEN
340,1,448.4,166.8,542.9,346.3,495.6,256.6,179.5,0.850,RED
340,2,498.4,45.4,561.6,229.4,530.0,137.4,184.0,0.000,GREEN
341,1,448.4,166.2,543.4,347.4,495.9,256.8,181.2,0.850,RED
341,2,492.3,41.7,561.3,219.9,526.8,130.8,178.2,0.000,GREEN
342,1,448.3,166.2,543.3,346.9,495.8,256.6,180.6,0.850,RED
342,2,492.6,41.7,561.4,220.2,527.0,131.0,178.6,0.000,GREEN
343,1,447.7,165.1,542.8,345.4,495.2,255.2,180.4,0.850,RED
343,2,477.2,42.1,560.7,228.3,518.9,135.2,186.2,0.000,GREEN
344,1,447.8,164.3,542.3,347.7,495.1,256.0,183.4,0.850,RED
344,2,478.4,43.8,558.9,227.8,518.7,135.8,184.0,0.000,GREEN
345,1,447.8,163.9,542.7,348.2,495.3,256.0,184.3,0.850,RED
